# initial_energy
# total_energy =    21393864.400
# t_series

#########################################################
#           step    tempk     radg       etot      velet qscore     rmsd
#unit       step    tempk     radg       etot      velet qscore     rmsd      local         go      repul  stack_rna      hbond      elect      afmcc     afmfit      stage
#########################################################

#all        2700   298.00    37.53   -2766.87    1815.03  0.386    15.45    1860.56    -154.09      26.05   -2634.18   -2696.34     283.12  0.9696524     548.32      -1.28
            2800   298.00    37.55   -3008.53    1833.83  0.380    15.42
#all        2800   298.00    37.55   -3008.53    1833.83  0.380    15.42    1742.50    -156.42      17.74   -2632.83   -2703.17     279.71  0.9754276     443.98      -1.02
            2900   298.00    37.58   -3176.15    1814.51  0.384    15.41
#all        2900   298.00    37.58   -3176.15    1814.51  0.384    15.41    1695.73    -161.47      14.77   -2646.60   -2767.72     275.88  0.9771175     413.44      -1.16
            3000   298.00    37.58   -3236.98    1694.02  0.381    15.36
#all        3000   298.00    37.58   -3236.98    1694.02  0.381    15.36    1709.05    -163.48      16.47   -2718.82   -2778.45     275.62  0.9765483     423.73      -2.07
            3100   298.00    37.60   -3379.42    1663.54  0.397    15.35
#all        3100   298.00    37.60   -3379.42    1663.54  0.397    15.35    1588.42    -147.65      17.37   -2762.17   -2777.48     273.25  0.9761049     431.74      -3.88
            3200   298.00    37.61   -3332.56    1558.55  0.395    15.32
#all        3200   298.00    37.61   -3332.56    1558.55  0.395    15.32    1587.19    -168.36      15.34   -2752.80   -2774.45     270.40  0.9727134     493.02      -3.86
            3300   298.00    37.58   -3491.33    1551.94  0.393    15.29
#all        3300   298.00    37.58   -3491.33    1551.94  0.393    15.29    1512.66    -169.12      18.54   -2811.49   -2765.45     269.96  0.9747916     455.47      -2.87
            3400   298.00    37.56   -3569.31    1447.15  0.412    15.29
#all        3400   298.00    37.56   -3569.31    1447.15  0.412    15.29    1536.04    -162.11      19.74   -2864.99   -2780.92     269.22  0.9770137     415.32      -2.57
            3500   298.00    37.55   -3658.60    1431.63  0.424    15.31
#all        3500   298.00    37.55   -3658.60    1431.63  0.424    15.31    1471.81    -176.63      23.93   -2848.47   -2817.52     268.56  0.9766849     421.26      -2.51
            3600   298.00    37.57   -3782.14    1456.88  0.415    15.33
#all        3600   298.00    37.57   -3782.14    1456.88  0.415    15.33    1399.52    -171.27       8.98   -2876.61   -2848.06     268.15  0.9758014     437.22      -1.05
            3700   298.00    37.59   -3802.10    1363.27  0.416    15.35
#all        3700   298.00    37.59   -3802.10    1363.27  0.416    15.35    1410.82    -186.22      12.46   -2897.27   -2851.60     268.06  0.9755608     441.57      -0.89
            3800   298.00    37.62   -3787.93    1286.26  0.411    15.34
#all        3800   298.00    37.62   -3787.93    1286.26  0.411    15.34    1389.94    -183.56      10.65   -2891.56   -2854.81     267.11  0.9737195     474.84      -1.52
            3900   298.00    37.64   -3863.41    1271.68  0.428    15.33
#all        3900   298.00    37.64   -3863.41    1271.68  0.428    15.33    1351.21    -196.22      10.71   -2944.52   -2857.79     267.27  0.9719538     506.74      -1.78
            4000   298.00    37.66   -3870.49    1225.06  0.418    15.30
#all        4000   298.00    37.66   -3870.49    1225.06  0.418    15.30    1327.21    -188.48       9.08   -2966.20   -2854.72     267.99  0.9703529     535.67      -2.00
            4100   298.00    37.68   -3983.12    1209.08  0.418    15.26
#all        4100   298.00    37.68   -3983.12    1209.08  0.418    15.26    1291.24    -185.81       6.94   -2975.88   -2864.71     267.31  0.9735300     478.26      -1.44
            4200   298.00    37.74   -4011.21    1194.54  0.426    15.23
#all        4200   298.00    37.74   -4011.21    1194.54  0.426    15.23    1251.53    -180.80       9.69   -2992.43   -2878.77     266.80  0.9715618     513.82      -2.02
            4300   298.00    37.79   -4046.20    1208.33  0.420    15.22
#all        4300   298.00    37.79   -4046.20    1208.33  0.420    15.22    1219.11    -188.55       9.47   -2999.13   -2885.11     264.87  0.9704237     534.39      -2.21
            4400   298.00    37.86   -4055.30    1132.23  0.434    15.20
#all        4400   298.00    37.86   -4055.30    1132.23  0.434    15.20    1228.21    -176.80       9.45   -3022.29   -2895.52     263.44  0.9701420     539.48      -2.24
            4500   298.00    37.93   -4084.45    1093.18  0.423    15.18
#all        4500   298.00    37.93   -4084.45    1093.18  0.423    15.18    1204.81    -184.28       9.51   -3018.08   -2887.65     262.74  0.9706876     529.62      -2.10
            4600   298.00    37.98   -4120.80    1133.84  0.434    15.14
