# initial_energy
# total_energy =    21391357.444
# t_series

#########################################################
#           step    tempk     radg       etot      velet qscore     rmsd
#unit       step    tempk     radg       etot      velet qscore     rmsd      local         go      repul  stack_rna      hbond      elect      afmcc     afmfit      stage
#########################################################

               0   298.00    40.68 **********     679.46  0.549     0.00
#all           0   298.00    40.68 **********     679.46  0.549     0.00   11221.06 2781091.47      53.43   28326.44 **********     256.59  0.8535415     139.28      -2.96
               1   298.00    40.68 **********    1121.09  0.547     0.01
#all           1   298.00    40.68 **********    1121.09  0.547     0.01   10821.62 2541474.71      53.97   27167.11 **********     256.56  0.8541227     138.72      -3.09
             100   298.00    40.77    3983.28   11389.79  0.380     3.00
#all         100   298.00    40.77    3983.28   11389.79  0.380     3.00    7407.59     -82.73      57.06   -1444.07   -2363.95     261.55  0.8418241     150.42      -3.44
             200   298.00    40.68    3076.95   10074.57  0.346     4.57
#all         200   298.00    40.68    3076.95   10074.57  0.346     4.57    6772.78     -85.00     162.38   -1992.09   -2200.73     282.15  0.8560658     136.87      -0.27
             300   298.00    40.57    3875.34    8951.55  0.338     5.66
#all         300   298.00    40.57    3875.34    8951.55  0.338     5.66    6183.38     -60.88    1244.14   -1862.34   -2058.33     296.92  0.8615736     131.64      -0.05
             400   298.00    40.47    2111.68    8101.56  0.304     6.45
#all         400   298.00    40.47    2111.68    8101.56  0.304     6.45    5750.66     -98.85     197.95   -1814.30   -2356.48     304.78  0.8663997     127.05       0.00
             500   298.00    40.36    1897.95    7357.52  0.305     7.11
#all         500   298.00    40.36    1897.95    7357.52  0.305     7.11    5256.54     -45.04     100.29   -1772.26   -2073.06     304.07  0.8669331     126.54       0.00
             600   298.00    40.24    1214.98    6744.65  0.309     7.71
#all         600   298.00    40.24    1214.98    6744.65  0.309     7.71    5048.97     -82.72      63.72   -1850.65   -2396.56     306.91  0.8691362     124.45       0.00
             700   298.00    40.07     827.10    6162.75  0.318     8.22
#all         700   298.00    40.07     827.10    6162.75  0.318     8.22    4722.19     -61.27      28.60   -1914.41   -2369.99     299.80  0.8722744     121.46      -0.13
             800   298.00    39.89     514.21    5571.62  0.322     8.62
#all         800   298.00    39.89     514.21    5571.62  0.322     8.62    4477.13     -83.30      60.95   -1929.46   -2430.29     296.68  0.8721078     121.62       0.00
             900   298.00    39.73     323.71    5017.22  0.343     8.96
#all         900   298.00    39.73     323.71    5017.22  0.343     8.96    4227.51     -56.68      60.97   -1894.55   -2438.53     301.84  0.8713838     122.31      -0.03
            1000   298.00    39.63     -50.29    4752.93  0.347     9.31
#all        1000   298.00    39.63     -50.29    4752.93  0.347     9.31    3925.45    -111.04      77.00   -1999.23   -2371.60     302.08  0.8673133     126.18       0.00
            1100   298.00    39.56    -284.39    4367.05  0.335     9.59
#all        1100   298.00    39.56    -284.39    4367.05  0.335     9.59    3658.86    -100.35      49.87   -1948.50   -2365.36     296.92  0.8703355     123.30       0.00
            1200   298.00    39.47    -756.42    4056.26  0.324     9.86
#all        1200   298.00    39.47    -756.42    4056.26  0.324     9.86    3432.93    -108.49      34.18   -2089.48   -2439.23     292.91  0.8739332     119.88       0.00
            1300   298.00    39.39    -873.43    3637.68  0.347    10.06
#all        1300   298.00    39.39    -873.43    3637.68  0.347    10.06    3404.91     -99.51      43.70   -2159.46   -2474.06     294.45  0.8783853     115.65       0.00
            1400   298.00    39.33   -1209.39    3443.12  0.338    10.29
#all        1400   298.00    39.33   -1209.39    3443.12  0.338    10.29    3130.64    -124.22      53.33   -2185.61   -2490.49     290.31  0.8782651     115.76       0.00
            1500   298.00    39.30   -1504.60    3279.95  0.338    10.50
#all        1500   298.00    39.30   -1504.60    3279.95  0.338    10.50    2943.84    -131.80      30.79   -2278.16   -2468.00     286.25  0.8826400     111.60       0.00
            1600   298.00    39.27   -1738.25    3107.73  0.343    10.64
#all        1600   298.00    39.27   -1738.25    3107.73  0.343    10.64    2813.11    -117.84      11.34   -2343.47   -2500.97     283.75  0.8790870     114.98      -0.03
            1700   298.00    39.27   -2006.04    2945.65  0.359    10.78
